"","identifier","names","names_2","x","values","lag_sign","Stable","beta","alpha","gamma","W","W1","W2","c","v","r","k","interest_rate","sigma","spec","transformation","id_2"
"286",87,"ss_monop_lq","ss_monop_lq1",17286,0.0588090660431249,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,0,53957.9491971524,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 6732.24 and v= 0 and gamma 312.750318522464",1
"287",87,"ss_bertrand_lq","ss_bertrand_lq1",17434,0.00962687319577071,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,0,53957.9491971524,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 6732.24 and v= 0 and gamma 312.750318522464",1
"288",87,"ss_cournot_lq","ss_cournot_lq1",17450,0.0593682400592002,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,0,53957.9491971524,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 6732.24 and v= 0 and gamma 312.750318522464",1
"289",88,"ss_monop_lq","ss_monop_lq1",17286.5,0.0669637389963214,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,200,80936.9237957287,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 8083.69 and v= 0 and gamma 208.500212348309",1
"290",88,"ss_bertrand_lq","ss_bertrand_lq1",17431.5,0.0140084048278482,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,200,80936.9237957287,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 8083.69 and v= 0 and gamma 208.500212348309",1
"291",88,"ss_cournot_lq","ss_cournot_lq1",17447.5,0.0589541446938711,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,200,80936.9237957287,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 8083.69 and v= 0 and gamma 208.500212348309",1
"292",89,"ss_monop_lq","ss_monop_lq1",17286.5,0.0669637389963214,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,200,71943.9322628699,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 4789.6 and v= 0 and gamma 195.46894907654",1
"293",89,"ss_bertrand_lq","ss_bertrand_lq1",17432.5,0.0155725004560168,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,200,71943.9322628699,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 4789.6 and v= 0 and gamma 195.46894907654",1
"294",89,"ss_cournot_lq","ss_cournot_lq1",17448.5,0.0622755477344867,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,200,71943.9322628699,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 4789.6 and v= 0 and gamma 195.46894907654",1
"295",90,"ss_monop_lq","ss_monop_lq1",17286.5,0.0669637389963214,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,200,62950.9407300112,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 3142.55 and v= 0 and gamma 173.750176956924",1
